thread_id,customer_text,brand_reply,suggested_intent,escalated,intent,should_escalate,reply_quality
1025178,@XboxSupport Sorry but I brought a Xbox Live card (12 months) and not added my other 2 months for my last suscription :(,@USER Hi there! Mind sending us a direct message https://t.co/nPX1yNXCi5 with your Gamertag so we can further assist?  ^JA,network_connectivity,True,billing_subscription,yes,2
266619,@XboxSupport @USER @USER  Small typo in the purchase date? Lol https://t.co/fUUhKPtbGy,@USER so its just telling you thats when your new subscription will start.,billing_subscription,False,billing_subscription,no,5
1118865,@XboxSupport Does your enforcement history on an account reset over an extended period of time?,@USER Not that we know of. If you'd like to see that feature added feel free to post here: https://t.co/bKaMp0HcbU . ^IS,enforcement_ban,False,enforcement_ban,no,5
2410790,"@XboxSupport what’s this about, just got an enforcement but it says nothing about party chat https://t.co/QsJ2FFTzxX",@USER Hi there! Could you DM https://t.co/nPX1yNXCi5 us your gamertag and a screenshot of the most recent email from the enforcement team? ^JS,enforcement_ban,True,enforcement_ban,yes,4
2897780,hey @XboxSupport me and @USER's shared xbox account got hacked and the details were changed :( can you PLEASE help us retrieve our account!?,"@USER Howdy! If you think your account has been compromised, check out this page: https://t.co/PjiL383pd4 for info &amp; next steps.  ^JS",enforcement_ban,False,enforcement_ban,yes,2
1658893,@XboxSupport I bought an Elite Controller roughly 4 months ago and noticed the back grip has begun to peel off is this covered by warranty?,@USER Hey there! Let's check in with the chat team here: https://t.co/lUV7XYl61S to look into your options.  ^BL,hardware_device,True,hardware_device,yes,4
2983283,@XboxSupport My pb with epic email not with Xbox account,"@USER Alrighty, if you do need us for any troubleshooting let us know. ^JL",account_access,False,account_access,no,5
2761473,"@XboxSupport I just set up my Xbox One X, but once I signed my account into it, the console pretends I don't have any Xbox Live! I clearly do on my other console, and I'm not down for purchasing the same thing twice.   Any thoughts?",@USER Hello! Would you mind letting us know your gamertag and sending a picture of your subscription showing on your account here: https://t.co/KwpDVOSrYz ^RR,hardware_device,True,hardware_device,yes,5
158210,"@XboxSupport Gamertag: Christian CLB
When I go to play online for Battlefront II it asks me to purchase xbox gold and when I try to play black ops it says I am not member but on my xbox subscriptions it says that I am subscribed to Xbox Gold.","@USER Please try removing your profile: https://t.co/zJxn1F3PZB (please ensure you remember your account email and password before doing this step), power cycling: https://t.co/QENEhDs7tB your Xbox One console and router/modem and then signing back in. Did that solve the issue? ^ZM",account_access,False,account_access,no,5
2875107,"@USER and @XboxSupport I have zero issues streaming on any other app. NFL, Amazon, Netflix... zero issues. It’s not my internet.",@USER Hi there! We're sorry to hear about the frustration. Mind sending us a direct message https://t.co/nPX1yNG0Tv with your Gamertag so we can further assist? ^JA,network_connectivity,True,network_connectivity,yes,4
601589,"@XboxSupport The XBox 360 had the most intuitive and brilliant UI. Chat, Party, everything. The XBox One is so bad it is infuriating. What happened?","@USER Hi there! The regions of codes cannot be changed. If you have a friend there, they can redeem the code on your account. ^CO",app_feature,False,app_feature,no,1
7889,do you know how hard it is to play Xbox with a broken RB 😭 #XboxOne #itsbroken https://t.co/8NHaU4x8J0,"@USER If you need help with your Xbox controller, we'd be happy to help! Tweet us any time for official Xbox support ^EZ",hardware_device,False,hardware_device,no,2
760710,"@USER He has already tried completely unplugging the console, leaving it and then plugging back in. It didn't work",@USER Hi there! Let's try all of the steps described on the game freeze guide on this link https://t.co/mqOAlFhV0f ^JL,hardware_device,False,hardware_device,yes,3
2505898,@XboxSupport Hello I got issues with my Xbox Live Gold subscription I'd like to have some help,"@USER Hello, thanks for reaching out to us. What can we help you with? ^CO",billing_subscription,False,account_access,yes,4
154678,@XboxSupport Ive contacted support 5 times but nobody can fix my home xbox problem they’ve made me do the same thing and told me to wait but never works. I cant play my digital games offline and somebody probably has access on my live gold and games!! https://t.co/3FqqH7EE1k,@USER they can take a look into the account and its limits with you. This isn't something we have the ability to do here on Twitter.,network_connectivity,False,account_access,yes,1
2577470,@XboxSupport How do I suspend my (son's) xbox one live account?,@USER Hi there! You could potentially change his settings to limit what can be accessed https://t.co/71eNbpwVbi  ^JS,enforcement_ban,False,enforcement_ban,no,5
1755251,@XboxSupport @USER Any idea when playerunknowns battlegrounds will be available to preorder on the xbox one console store itself? Right now it's not on there only at online retailers like amazon and microsoft store.  I wanna preorder right from my console itself.,@USER Hi there! We cannot speculate on this information and recommend checking https://t.co/1QSni2GOvR for information and news. ^CO,hardware_device,False,game_content,no,5
1100249,@XboxSupport why can't I sign in? https://t.co/jsoBGLR2MG,@USER Hey there! DM us with your Gamertag so we can take a look! https://t.co/nPX1yNXCi5 ^FH,account_access,True,account_access,yes,3
1757664,@XboxSupport Despite Microsoft's website confirming the Amazon app on the One S can stream 4k the Amazon website suggests otherwise: https://t.co/pFtceCRkC1,"@USER till you find ""Included with Prime 4K Ultra HD TV"" All 4K content should be located here and labeled UHD.",app_feature,False,app_feature,no,5
2249669,@XboxSupport I was charged multiple times for GamePass subscription. Xbox support tried to blame my bank until I could prove otherwise and then admitted to multiple customers calling in with the same complaint. No one can provide me with any info as to what is going on???,"@USER Hi, if you would like to inquire about a refund, you can reach out to our chat team here. https://t.co/sMM0hn9ycL
 ^RM",billing_subscription,True,billing_subscription,yes,2
4549,"@USER could you please fix the game gears of war 2 Japan, the multiplier on the public matches does not work, and no longer complete","@USER Hey there, are you still seeing this in the game? If you need help official Xbox support is just an @ away! ^EZ",game_content,False,game_content,yes,5
465539,"@XboxSupport hey I want a 6,99€ refund because I didn't ask to get xbox live","@USER Hi there! We're unable to process refunds here, let's reach out to the chat team for information: https://t.co/qSynA8s7TB ^CO",billing_subscription,True,billing_subscription,yes,4
1178348,@XboxSupport I'm unable to upload to Xbox live I get this error code.  Help ???gamertag - TOTALANXIETY https://t.co/M4UmHBxZpd,@USER Hi there! This feature is currently not available for this title. We'd recommend reaching out to the 1/2 ^JA,account_access,False,account_access,no,4
190874,@XboxSupport Really! :O thank you! And I will :D,@USER No problem. Hope you have a great one.  ^IS,other,False,other,no,4
1018509,@XboxSupport I put my console up to be repaired on that link the other day. Now what. Sorry i didnt get back to you earlier,@USER Have you received any emails about the repair? What do you see when you look here https://t.co/DepNLmOkhE  ^JS,hardware_device,False,hardware_device,yes,3
495509,@XboxSupport I’m jus wondering what kind of ban I️t was g,"@USER Hey there, sorry about that. If you head over here: https://t.co/DKYj5dv910 has there been any action taken on the account by them? ^XS",enforcement_ban,False,enforcement_ban,no,5
1687407,@XboxSupport There's a game I want that comes out tomorrow but it's not listed in store yet. Will it be there for dig. download @ midnight?,@USER Thanks for reaching out! Which game are you referring to? Can you DM us more details on that? https://t.co/nPX1yNXCi5 ^QZ,game_content,True,game_content,no,4
1586980,@USER @ATVIAssist @XboxSupport it says connecting to Xbox live then says this. https://t.co/diOpOo9US7,@USER . Please stay tuned to that page for updates and we appreciate your patience.,network_connectivity,False,network_connectivity,no,4
416877,@XboxSupport Will the Xbox one X come with an HDMI 2.0 cable?,@USER Hey there. We wouldn't have those specifics but this page has all of the present details details: https://t.co/w3u291GUxT . ^IS,hardware_device,False,hardware_device,no,5
1520786,@XboxSupport Hello every time I try to log in on the xbox app on ios this comes upp!? Thanks for help. https://t.co/Xc4sTrJTei,"@USER We'd be happy to help, but we could use more info. Could you follow &amp; DM @Xboxsupport with your Gamertag &amp; some details? ^EZ",account_access,True,account_access,yes,4
2703768,"@USER @ATVIAssist @XboxSupport https://t.co/JD8FwS3Gbp I recorded somebody clearly cheating in a game. Is he going to be banned for CLEARLY cheating? His xbox gamertag is ""Wompo""",@USER Hi there! Were you able to report the user following the steps here: https://t.co/uWk4X6KjuM ^BL,account_access,False,enforcement_ban,no,5
771473,@XboxSupport newest update for destiny 2 deleted my game from my hard drive. Reported bug. But still gonna take 3 hours to redownload.,"@USER Sorry to hear that, let's try the slow downloads guide https://t.co/N75wQ6skgz see if we can get that running quicker. ^JL",game_content,False,app_feature,no,4
2702304,@XboxSupport you guys are ass clowns suspending me when someone else was also talking shit. Give me money back for Xbox live. Xbox enforcement is a damn joke.,@USER if you are eligible for a case review you can do that there as well.,network_connectivity,False,billing_subscription,yes,4
933935,"@XboxSupport ever since your latest update, I’ve been having sign in and account issues","@USER Hi there, could you DM https://t.co/nPX1yNXCi5 us your Gamertag and details about what you're seeing so we can better help! ^JS",account_access,True,account_access,yes,5
2852368,@USER @XboxSupport @USER  i been looking into XBOX One Store i can not find the game i want to pre order,@USER Hi there! Do you notice any issues when you try to pre-order the game via the link here? https://t.co/QLEW6CNqQL ^TJ,game_content,False,game_content,no,5
1401778,@XboxSupport Fix my ban on Xbox,@USER Hi there. We're actually separate from the Enforcement team &amp; couldn't influence their actions. We'd recommend submitting a Case Review for more info regarding this: https://t.co/U1yn6tCbse ^EZ,enforcement_ban,False,enforcement_ban,no,5
763850,"@XboxSupport Just telling me incorrect password and I dont have access to the email I used to sign up, then it's saying I can't prove the account is mine","@USER Gotcha. Just to clarify, do you not recall the email that is associated with your account, 1/2 ^JA @USER or are you unable to access your email account? 2/2 ^JA",account_access,False,account_access,no,4
372353,I have all sorts of problems with internet connection on Xbox. Never on PlayStation. What the actual fuck?!,@USER We'd be happy to look into the connection with you! Tweet us any time for official Xbox support :) ^EZ,network_connectivity,False,network_connectivity,yes,3
2306033,@XboxSupport I was just looking at my credit card charges and there's a charge to the Microsoft store that I didn't make on November 9th,"@USER Hi there! To make sure, do you see this charge when you log into the link here? https://t.co/FI2DG48xus  ^TJ",billing_subscription,False,billing_subscription,yes,1
712328,@XboxSupport Not particularly helpful. I only have one controller and you want me to send it away for 2 weeks for repair/replace!,@USER always reach out to the live chat team: https://t.co/lUV7XYl61S for further assistance!,hardware_device,True,hardware_device,yes,3
312268,so @XboxSupport there is this man on xbox named sml light who abused me with words and my family. can you do please try to ban him for a bit,@USER We're sorry to hear about that! Let's have you be sure to report that user on the console so that the 1/2  ^JA @USER Enforcement team is aware. They take all reports very seriously &amp; will thoroughly investigate. 2/2  ^JA,enforcement_ban,False,enforcement_ban,yes,3
2707806,@XboxSupport Oh yea headsets work great! I was talking about usb mics for streaming to Mixer. Like Snowball mics and such.,@USER Thanks for clarifying that! That's a great idea - we'd recommend posting that at https://t.co/xzPtJXyHRY to help make sure it reaches the right teams to look into making that happen :) ^QZ,app_feature,False,app_feature,no,4
2866226,"@XboxSupport @USER 

Hi there. I have a question about Xbox One S/X Power cables.

Will any UK power cable do or do I have to use a Microsoft-branded one for best results?

Have a console on the way but it’ll come with an EU plug/cable. Would rather not use a converter.",@USER @USER Hi there! For the best experience we would recommend to purchase a console in the region that you intend to use it in &amp; make sure that you're using the power cable that came with the console.^EZ,hardware_device,False,hardware_device,yes,4
7910,@XboxSupport My brother and I have the game and my gamertag is Toxicradiation5,@USER Can you DM us so we can get more information from you ^CO,account_access,True,account_access,yes,4
1533368,@XboxSupport lol. The download wasn't too bad I was just making a joke with Paul. Thanks tho!,@USER Alrighty! Do let us know if you run into any issues we can help with. ^JL,game_content,False,game_content,no,4
2160714,@XboxSupport Why won’t the code that came with my Xbox One X for game pass work?,"@USER Sorry to hear. To be sure, have you by chance already had a trial for the Xbox Game Pass in the past? ^AK",game_content,False,billing_subscription,no,4
